Epoch 1/100 (1.0%) - Acc: 0.3460, Loss: 0.6896, Val_Acc: 0.3469, Val_Loss: 0.6909, Time: 125450ms
Epoch 2/100 (2.0%) - Acc: 0.3460, Loss: 0.6895, Val_Acc: 0.3469, Val_Loss: 0.6909, Time: 121464ms
Epoch 3/100 (3.0%) - Acc: 0.3453, Loss: 0.6900, Val_Acc: 0.3468, Val_Loss: 0.6917, Time: 126708ms
Epoch 4/100 (4.0%) - Acc: 0.3455, Loss: 0.6898, Val_Acc: 0.3468, Val_Loss: 0.6915, Time: 124219ms
Epoch 5/100 (5.0%) - Acc: 0.3457, Loss: 0.6898, Val_Acc: 0.3468, Val_Loss: 0.6912, Time: 123037ms
Epoch 6/100 (6.0%) - Acc: 0.3458, Loss: 0.6897, Val_Acc: 0.3468, Val_Loss: 0.6912, Time: 91744ms
Epoch 7/100 (7.0%) - Acc: 0.3448, Loss: 0.6901, Val_Acc: 0.3466, Val_Loss: 0.6922, Time: 122429ms
Epoch 8/100 (8.0%) - Acc: 0.3448, Loss: 0.6901, Val_Acc: 0.3466, Val_Loss: 0.6922, Time: 94722ms
Epoch 9/100 (9.0%) - Acc: 0.3458, Loss: 0.6897, Val_Acc: 0.3468, Val_Loss: 0.6912, Time: 125708ms
Epoch 10/100 (10.0%) - Acc: 0.3456, Loss: 0.6898, Val_Acc: 0.3468, Val_Loss: 0.6912, Time: 91915ms
Epoch 11/100 (11.0%) - Acc: 0.3451, Loss: 0.6901, Val_Acc: 0.3467, Val_Loss: 0.6920, Time: 122005ms
Epoch 12/100 (12.0%) - Acc: 0.3455, Loss: 0.6898, Val_Acc: 0.3467, Val_Loss: 0.6920, Time: 95626ms
Epoch 13/100 (13.0%) - Acc: 0.3458, Loss: 0.6897, Val_Acc: 0.3468, Val_Loss: 0.6912, Time: 122617ms
Epoch 14/100 (14.0%) - Acc: 0.3456, Loss: 0.6898, Val_Acc: 0.3468, Val_Loss: 0.6912, Time: 92445ms
Epoch 15/100 (15.0%) - Acc: 0.3458, Loss: 0.6897, Val_Acc: 0.3468, Val_Loss: 0.6911, Time: 122392ms
Epoch 16/100 (16.0%) - Acc: 0.3461, Loss: 0.6893, Val_Acc: 0.3468, Val_Loss: 0.6911, Time: 92753ms
Epoch 17/100 (17.0%) - Acc: 0.3460, Loss: 0.6894, Val_Acc: 0.3470, Val_Loss: 0.6908, Time: 122068ms
Epoch 18/100 (18.0%) - Acc: 0.3455, Loss: 0.6899, Val_Acc: 0.3470, Val_Loss: 0.6908, Time: 92181ms
Epoch 19/100 (19.0%) - Acc: 0.3461, Loss: 0.6893, Val_Acc: 0.3470, Val_Loss: 0.6908, Time: 122099ms
